$$icarusIV,1,07:19:55,0.0000000,0.0000000,1,11,0.0,3,11,28.3*BB84
$$icarusIV,2,07:19:56,0.0001960,0.0000400,2,11,61.6,3,11,28.3*C856
$$icarusIV,3,07:19:57,0.0002870,0.0000890,3,11,50.4,3,11,28.3*1B35
$$icarusIV,4,07:19:58,0.0003680,0.0001560,4,12,40.2,3,11,28.3*EA09
$$icarusIV,5,07:19:59,0.0004390,0.0002400,5,12,29.4,3,11,28.3*4DE5
$$icarusIV,6,07:20:00,0.0004950,0.0003390,6,13,19.6,3,11,28.3*EFA6
$$icarusIV,7,07:20:01,0.0005350,0.0004510,7,13,10.1,3,11,28.2*C0E3
$$icarusIV,8,07:20:02,0.0005570,0.0005740,8,14,0.8,3,11,28.3*84D3
$$icarusIV,9,07:20:03,0.0005590,0.0007050,9,15,352.0,3,11,28.3*DA47
$$icarusIV,10,07:20:04,0.0005400,0.0008410,10,16,343.5,3,11,28.3*E960
$$icarusIV,11,07:20:05,0.0004990,0.0009800,11,16,335.1,3,11,28.3*0581
$$icarusIV,12,07:20:06,0.0004350,0.0011180,12,17,327.2,3,11,28.3*00CA
$$icarusIV,13,07:20:07,0.0003480,0.0012530,13,18,319.1,3,11,28.2*3539
$$icarusIV,14,07:20:08,0.0002380,0.0013800,14,19,311.3,3,11,28.3*B067
$$icarusIV,15,07:20:09,0.0001060,0.0014960,15,20,303.9,3,11,28.3*7973
$$icarusIV,16,07:20:10,-0.000470,0.0015990,16,21,296.8,3,11,28.3*CF30
$$icarusIV,17,07:20:11,-0.000190,0.0016860,17,22,289.4,3,11,28.3*2D42
$$icarusIV,18,07:20:12,-0.000090,0.0017530,18,23,282.3,3,11,28.2*BE83
$$icarusIV,19,07:20:13,-0.000140,0.0017980,19,24,275.5,3,11,28.2*B880
$$icarusIV,20,07:20:14,-0.000320,0.0018190,20,25,268.4,3,11,28.2*78A1
$$icarusIV,21,07:20:15,-0.001000,0.0018130,21,26,261.7,3,11,28.2*3577
$$icarusIV,22,07:20:16,-0.001250,0.0017790,22,27,254.8,3,11,28.2*0096
$$icarusIV,23,07:20:17,-0.001520,0.0017150,23,28,248.4,3,11,28.2*6F90
$$icarusIV,24,07:20:18,-0.001700,0.0016210,24,29,241.7,3,11,28.2*885D
$$icarusIV,25,07:20:19,-0.002030,0.0014960,25,30,235.2,3,11,28.3*C390
$$icarusIV,26,07:20:20,-0.002280,0.0013400,26,31,228.8,3,11,28.2*B662
$$icarusIV,27,07:20:21,-0.002410,0.0011540,27,32,222.3,3,11,28.3*46B9
$$icarusIV,28,07:20:22,-0.002680,0.0009380,28,33,216.1,3,11,28.3*42DE
$$icarusIV,29,07:20:23,-0.002860,0.0006940,29,34,209.6,3,11,28.3*A194
$$icarusIV,30,07:20:24,-0.002900,0.0004230,30,35,203.3,3,11,28.3*EE0C
$$icarusIV,31,07:20:25,-0.003070,0.0001290,31,36,197.2,3,11,28.3*0D27
$$icarusIV,32,07:20:26,-0.003150,-0.000870,32,37,190.8,3,11,28.3*E762
$$icarusIV,33,07:20:27,-0.003290,-0.000210,33,38,184.6,3,11,28.3*77B6
$$icarusIV,34,07:20:28,-0.003270,-0.000690,34,39,178.5,3,11,28.3*64B1
$$icarusIV,35,07:20:29,-0.003280,-0.001280,35,40,172.1,3,11,28.3*2F93
$$icarusIV,36,07:20:30,-0.003280,-0.001530,36,42,166.2,3,11,28.3*AB30
$$icarusIV,37,07:20:31,-0.003180,-0.001900,37,43,160.1,3,11,28.3*9373
$$icarusIV,38,07:20:32,-0.003060,-0.002350,38,44,153.8,3,11,28.3*FE83
$$icarusIV,39,07:20:33,-0.002810,-0.002620,39,45,147.9,3,11,28.2*7EE2
$$icarusIV,40,07:20:34,-0.002650,-0.003070,40,46,141.8,3,11,28.2*433A
$$icarusIV,41,07:20:35,-0.002370,-0.003350,41,47,135.7,3,11,28.2*EA48
$$icarusIV,42,07:20:36,-0.002090,-0.003610,42,48,129.7,3,11,28.2*E9EC
$$icarusIV,43,07:20:37,-0.001730,-0.003900,43,49,123.6,3,11,28.2*A1C0
$$icarusIV,44,07:20:38,-0.001320,-0.004170,44,50,117.7,3,11,28.2*E267
$$icarusIV,45,07:20:39,-0.000490,-0.004390,45,51,111.6,3,11,28.3*19AD
$$icarusIV,46,07:20:40,-0.000160,-0.004510,46,52,105.7,3,11,28.2*0F72
$$icarusIV,47,07:20:41,-0.000580,-0.004700,47,53,99.7,3,11,28.3*9183
$$icarusIV,48,07:20:42,0.0004200,-0.004720,48,55,93.7,3,11,28.3*3644
$$icarusIV,49,07:20:43,0.0009140,-0.004840,49,56,87.8,3,11,28.3*5515
